child_id,s_1w,s_2w,s_3w,s_4w,s_5w,s_6w,s_7w,s_8w,s_9w,s_10w,s_11w,s_12w,1p,2p,3p,4p,5p,6p,7p,8p,9p,10p,11p,12p
4139,91,161,201,227,265,316,372,423,451,NA,NA,474,63.63636364,63.125,55.9375,52.39130435,52.69230769,53.21428571,54.5,54.31034483,46.875,NA,NA,29.82758621
4155,57,92,134,NA,258,315,NA,414,515,569,617,644,58.84615385,61.33333333,65.95238095,NA,78.66666667,62.60869565,NA,75.51282051,79.21052632,79.14285714,88.46153846,90.15625
4162,124,244,370,430,486,552,610,638,NA,655,NA,665,99,91.66666667,94.21568627,89.24242424,94.19117647,93.75,96.57142857,90.98214286,NA,94,NA,90.5
4186,114,132,NA,191,282,307,406,565,621,630,NA,NA,64.11764706,28,NA,53,66.55172414,33.91304348,62.70833333,80,90.625,77.77777778,NA,NA
4189,45,67,91,129,165,248,295,NA,NA,402,482,659,15.625,25,16.33333333,26.59090909,17.30769231,27.58064516,20.81081081,NA,NA,16.76470588,20.625,92
4210,112,198,308,402,454,475,NA,556,593,NA,NA,666,61.15384615,80.71428571,74.8,88.58695652,87.93478261,81.66666667,NA,84.81481481,89.28571429,NA,NA,98.55555556
4214,14,20,23,27,29,34,36,46,66,102,139,192,5,4.545454545,3.75,3.857142857,2.840909091,2.767857143,1.896551724,2.528735632,2.757009346,2.767295597,3.246073298,4.502617801
4247,285,403,500,575,600,631,NA,664,664,664,666,675,92.42424242,91.62162162,90.07352941,94.75409836,93.77358491,92.82608696,NA,98.47826087,98.65217391,97.66666667,95.4,98.2
4248,97,97,208,330,401,473,578,611,645,653,663,671,55,45.35714286,66.19047619,77.69230769,73.7037037,81.11111111,90.32608696,92.5,93.5,91.66666667,88.75,97.76923077
4250,2,7,13,18,34,54,152,387,517,578,NA,NA,2.5,3,3.4375,3.75,9.166666667,13.33333333,29.41176471,70.96774194,80.65217391,80,NA,NA
4261,158,231,531,663,669,NA,674,674,674,674,680,680,80.06807352,87.72727273,99,99,99,NA,99,99,99,99,99,99
4264,249,398,501,551,652,663,669,674,674,674,674,674,89.52380952,95.67368421,96.86666667,95.54320988,99,99,99,99,99,99,99,99
4265,48,96,148,218,292,339,397,434,514,NA,NA,568,55.38461538,57.5,62.75,67.88461538,73.75,68.79310345,75.51282051,71.61290323,78.42105263,NA,NA,73.26923077
4267,43,71,97,177,NA,276,473,539,NA,NA,NA,NA,52.14285714,45,46.66666667,50.75,NA,61.66666667,92.57142857,89.45945946,NA,NA,NA,NA
4270,269,331,435,514,540,562,588,611,NA,642,653,668,98.05263158,80.58543227,99,99,98.97122302,98.3559322,98.08333333,98.09333333,NA,98.31707317,97.89655172,99
4272,7,12,12,15,17,30,NA,42,56,67,131,226,7.5,4.615384615,2.8125,2.2,2.2,3.552631579,NA,3.4375,2.777777778,3.125,5.704225352,10.86956522
4273,45,76,163,355,480,618,645,NA,NA,670,671,671,40,43.46153846,64.375,89.34782609,93.95833333,99,98.93220339,NA,NA,99,99,99
4276,39,55,71,92,171,294,392,605,640,644,659,670,49.28571429,30.625,41.25,40,52,67.4137931,72.5,98.62666667,96.95121951,90.41666667,94.125,98.2
4289,10,23,47,62,79,94,NA,183,NA,299,393,529,11.66666667,13,31.25,26,24.5,22.5,NA,37.25,NA,38.84615385,44.79166667,72.22222222
4291,54,137,174,251,270,301,317,339,369,432,454,577,44.5,46.78571429,53.75,67.38095238,52.60869565,47.72727273,31.61764706,35.68965517,35.16666667,39.21875,31.74418605,58
4292,19,118,226,319,380,440,504,546,634,649,674,674,10,50,70.8,79.61538462,81.15384615,82.77777778,86.02941176,87.14285714,96.06666667,96.56521739,99,99
4301,42,67,93,240,312,NA,NA,NA,NA,586,NA,NA,21.875,31.81818182,27.5,51.34615385,45.625,NA,NA,NA,NA,61.78571429,NA,NA
4307,6,18,31,38,74,129,173,249,306,415,440,524,6.25,14,19.16666667,11.42857143,26.42857143,39.61538462,39.0625,48.33333333,46.89655172,62.27272727,46.03448276,53.26923077
4316,97,140,177,259,418,484,570,638,NA,662,670,676,66.11111111,67.14285714,67.17391304,76.16666667,88.58974359,91.28571429,90.44642857,94.01785714,NA,96.33333333,99,99
4318,44,81,165,210,268,394,493,560,600,632,651,667,47,63.46153846,80.03403676,79.5,84.8,93.7704918,95.50847458,96.54166667,94.70588235,96.35714286,97.34146341,95.26666667
4319,8,11,20,40,71,90,118,149,217,320,481,NA,5,2.5,7.272727273,11.81818182,20,12.89473684,16.5,12.83333333,20.45454545,28.93939394,48.63636364,NA
4338,5,19,66,NA,121,281,659,674,674,NA,NA,674,8,9.375,28.33333333,NA,29.72222222,45.41666667,99,99,99,NA,NA,94.79166667
4339,197,317,435,NA,585,NA,NA,654,NA,NA,673,673,88.55263158,89.88888889,94.59459459,NA,96.49152542,NA,NA,98.6,NA,NA,99,99
4354,31,NA,60,98,142,186,236,399,448,545,626,641,33.33333333,NA,32.27272727,38,43.21428571,43.33333333,37.14285714,61.59090909,53.16666667,71.66666667,88.40909091,76.75
4359,41,79,153,229,291,322,412,443,477,510,535,632,42.5,50.45454545,64.25,63.04347826,63.33333333,53.33333333,77.17948718,61.36363636,53.66666667,53.21428571,46.6,88.33333333
4377,25,30,39,106,377,NA,670,674,674,NA,674,NA,28,12,11.25,29.16666667,86.63043478,NA,99,99,99,NA,99,NA
4379,32,108,184,244,315,368,407,448,504,642,NA,NA,27.85714286,57.08333333,71.04166667,70.4,78.84615385,79.03846154,76.92307692,74.79166667,60.625,91.16666667,NA,NA
4399,125,196,265,329,NA,435,538,555,583,628,654,658,75.9375,85.22727273,90,90.98360656,NA,91.07142857,92.3015873,86.77419355,70.26315789,65.29411765,89.72222222,87.66666667
4580,5,11,20,41,60,80,121,234,295,528,647,674,8,13.33333333,9.285714286,20.71428571,19.44444444,23.21428571,30.78947368,49.44444444,45.17241379,86.17647059,98.31034483,99
4810,50,71,87,117,171,205,303,343,426,528,616,649,16.875,19.58333333,25.27777778,26.36363636,30.68965517,29.64285714,37,35.15625,40.25,54.54545455,79.90990991,89.86111111
4811,310,366,431,475,497,530,561,577,599,613,628,631,90.35211268,90.74324324,87.55813953,91.69117647,90.16393443,89.70588235,89.64285714,87.29166667,80.35714286,79.77477477,77.22222222,68.33333333
4812,43,59,105,158,205,334,387,420,454,498,537,555,32.5,33.63636364,35.76923077,51.5,53.26086957,47.4137931,53.03571429,38.39285714,46.96428571,59.64285714,63.46153846,58.125
4817,126,190,287,407,462,513,559,577,603,630,644,654,54.0625,62.63157895,63.33333333,77.30769231,78.8,80.74074074,83.18181818,80.55555556,79.27927928,77.77777778,78.57142857,86.42857143
4818,231,284,342,432,504,565,600,621,NA,NA,659,665,72.2,81.875,74.62962963,72.91666667,79.95652174,84.77272727,80,80.45454545,NA,NA,89.28571429,92.27272727
4820,24,35,55,103,167,238,304,400,525,586,640,NA,9.444444444,17.14285714,16.36363636,35,36,43.04347826,46.66666667,46.42857143,74.81481481,80.71428571,87.66666667,NA
4827,348,431,482,541,NA,597,621,642,NA,NA,655,657,89.23913043,91.80555556,92.20588235,90.8490566,NA,90.94594595,91.66666667,93.125,NA,NA,91.66666667,92.33333333
4830,9,10,10,13,46,82,118,164,237,NA,306,441,3.461538462,2.5,2,2.6,6.538461538,10.625,18.40909091,16.12903226,21.25,NA,19.65116279,28.78378378
4831,109,188,264,305,365,420,452,487,508,538,562,584,61.76470588,74.44444444,80.92592593,87.87878788,88.88888889,82.03703704,87.05128205,78.81578947,76.42857143,75.9375,75,67.91666667
4834,31,52,73,97,181,241,292,481,541,579,608,614,11.875,18.125,20.35714286,21.11111111,31.55172414,28.22580645,28.63636364,52.6,58.66666667,61.42857143,64.09090909,56.875
4835,116,143,224,355,423,NA,680,680,680,680,680,680,63.82352941,63.5,73.80952381,87.77777778,90.07142857,NA,99,99,99,99,99,99
4837,41,74,112,141,172,209,NA,267,335,NA,391,421,21.42857143,32.69230769,38.46153846,38.4375,37.25,34.86111111,NA,31.25,27.22222222,NA,28.24324324,26.08108108
4839,81,136,166,187,240,296,347,407,469,505,536,565,30.33333333,38.82352941,37.27272727,41.95652174,34.85294118,35.83333333,35.3125,36.61290323,38.79310345,37.5,36.08695652,35.25
4840,47,73,125,218,353,419,464,497,NA,600,627,652,26,32.30769231,43.21428571,56.2,65.37037037,69.4,60.29411765,57.72727273,NA,73.94736842,82.22222222,91.25
4841,69,85,118,226,320,371,462,532,573,602,641,664,48.07692308,46.66666667,57.25,74.28571429,82.4137931,82.85714286,82.69230769,91.66666667,92.32142857,79.16666667,91.15384615,94.25
4842,21,31,103,205,405,NA,NA,NA,NA,NA,NA,NA,9.375,11.875,37.85714286,45.90909091,55.95238095,NA,NA,NA,NA,NA,NA,NA
4846,19,32,55,83,134,287,394,441,502,527,538,560,8.125,12.5,20,23.92857143,23.26086957,28.75,28.78787879,30.93023256,34.28571429,32.875,28.65384615,27.04545455
4863,51,92,139,209,338,389,474,528,565,580,NA,605,38.33333333,49,55.2173913,62.60869565,77.56756757,78.07692308,84.80769231,80,87.41935484,78.7037037,NA,79.375
4866,49,82,113,130,167,247,310,369,410,455,486,528,24.375,39.5,32.36842105,37.05882353,30,36.03448276,38.16666667,32.09302326,37.58064516,37.06896552,34.75,35.2173913
4870,18,28,42,72,112,218,345,423,503,563,594,NA,7.5,10,8.888888889,19.58333333,25.22727273,31.61764706,44.8,50.37037037,57.94117647,65.41666667,57,NA
4872,128,189,270,311,364,407,448,496,548,569,590,607,75.33333333,72.5,80.125,85.2173913,78.84615385,84.74358974,83.88888889,84.67741935,80.90909091,78.4375,84.44444444,83.21428571
4873,73,118,150,261,327,374,404,434,494,521,536,550,43.84615385,51.5625,51.5,68.69565217,71.85185185,71.15384615,66.81818182,62.70833333,55,52.5,46.875,39.56521739
4876,135,187,286,399,434,434,NA,445,460,471,NA,NA,61.5,65.96153846,77.05882353,87.05128205,78.20512821,72.09677419,NA,54.46428571,39.44444444,51.15384615,NA,NA
4877,16,20,28,33,42,52,66,73,95,126,167,224,9.166666667,8.75,7.142857143,6.388888889,6.041666667,5.967741935,6.025641026,7.051282051,5.491803279,6.148648649,6.954022989,8.1
4880,16,18,22,50,90,147,249,376,466,499,552,609,16.25,13,8.333333333,20,40,40.27777778,53.51851852,69.62962963,76.84210526,76,79.0625,81.36363636
4883,44,87,132,204,258,290,315,349,378,465,493,507,50.71428571,55.55555556,60.75,69.23076923,71.875,69.82758621,66.55172414,53.96551724,60.45454545,70.16666667,55,40.27777778
4896,46,69,94,141,199,262,336,391,491,511,547,587,29.44444444,33.18181818,43.4375,40.23809524,44.56521739,48.125,52.5,53.27586207,65,60.26315789,60.3125,63.92857143
4899,164,221,362,422,515,595,629,632,NA,NA,NA,NA,95.21052632,80.27229408,96.11688312,97.67532468,98.88489209,99,99,71.5,NA,NA,NA,NA
4901,16,23,39,50,66,113,213,292,380,451,494,539,11,13,20,20,21.07142857,30.52631579,55.2,52.85714286,61.13636364,55.71428571,56.36363636,61.36363636
4902,6,16,31,56,72,NA,126,NA,NA,NA,NA,NA,2.142857143,4.705882353,8.214285714,13.57142857,20,NA,15.19230769,NA,NA,NA,NA,NA
4905,245,330,393,454,505,561,594,626,643,NA,NA,NA,88.69047619,91.69014085,92.5,90.07352941,93.82352941,95.27118644,95.66666667,96.68421053,95.17391304,NA,NA,NA
4907,14,25,48,84,134,179,242,270,346,401,453,505,5,13,15.625,31.33333333,38.23529412,40.2173913,35.17241379,32.30769231,35.625,36.12903226,36.72413793,38.26923077
4908,129,196,309,361,400,455,502,530,568,591,601,629,66.25,73.95833333,85,78.26923077,83.84615385,77.6,79.93478261,76.31578947,78.125,84.72222222,79.23423423,77.77777778
4914,51,72,109,148,258,384,473,NA,508,539,539,575,38.33333333,41,46.84210526,49.09090909,64.375,77.56410256,90.29411765,NA,77.28571429,77.03125,71.53846154,73.40909091
4930,7,9,17,26,29,40,64,118,219,275,414,486,3.181818182,3.214285714,3.863636364,6.428571429,5.277777778,4.545454545,6.025641026,7.540983607,12.33333333,14.1509434,25.9375,32.875
4933,140,204,325,541,614,624,NA,NA,NA,NA,NA,NA,62.75,69.23076923,83.27586207,92.21428571,93.52941176,93.73015873,NA,NA,NA,NA,NA,NA
4935,20,29,36,42,95,174,225,290,349,383,404,414,22.5,28.33333333,25,22.14285714,42.08333333,55.4,57.6,61.875,64.58333333,43.125,45.53571429,37.93103448
4937,54,93,125,198,281,NA,347,457,483,520,551,575,34.375,43.125,44.44444444,64.73684211,62.29166667,NA,65.43478261,67.75,63.18181818,62.63157895,61.5625,59.58333333
4956,102,175,267,421,491,529,NA,NA,NA,NA,NA,NA,52.5,63.33333333,73.95833333,89.87179487,91.61764706,94.41176471,NA,NA,NA,NA,NA,NA
4959,7,11,20,31,54,80,130,181,290,350,468,523,3.181818182,3.928571429,6.363636364,5.833333333,8.958333333,11.04166667,15.96153846,18.87096774,28.33333333,29.84848485,39.31034483,43.21428571
5036,19,35,54,115,168,249,336,422,474,519,544,581,9.285714286,17.14285714,22,39.61538462,45.8,53.51851852,51.89655172,60.5,63.23529412,65.58823529,62.72727273,67.5
5058,18,21,29,61,106,159,216,NA,304,375,443,481,18.75,16.25,18.33333333,34.54545455,46.05263158,51.75,55.8,NA,55,60.22727273,65.86956522,65.5
5644,120,163,202,294,404,444,496,553,595,610,641,661,43.05555556,45.5,45.22727273,54.28571429,65.68181818,63.33333333,64.54545455,70.66666667,75.76923077,79.27927928,80,86.42857143
5646,182,260,292,306,384,420,522,567,622,641,647,661,71.04166667,78.125,74.80769231,67.60869565,73.07692308,70.20833333,82.40740741,77.5,88,90,89.44444444,91.36363636
5668,61,109,230,340,377,NA,NA,NA,NA,NA,NA,NA,29.58333333,40,61.81818182,74.25925926,71.73076923,NA,NA,NA,NA,NA,NA,NA
5672,137,183,286,367,446,478,512,581,NA,658,664,670,57.85714286,60.78947368,73.65384615,69.7826087,75.8,81.77419355,79.90217391,80.83333333,NA,96.55555556,94.66666667,97
5676,127,221,261,398,410,NA,NA,651,674,NA,NA,NA,54.375,70.2,68.69565217,83.58974359,78.07692308,NA,NA,96.86666667,95.66666667,NA,NA,NA
5689,29,47,93,132,162,NA,NA,NA,NA,NA,NA,NA,17,23.125,34.33333333,37.64705882,36.36363636,NA,NA,NA,NA,NA,NA,NA
5691,14,20,20,22,30,44,65,95,158,257,312,394,4.117647059,4.545454545,3.571428571,3.142857143,3.409090909,3.928571429,3.735632184,5.655737705,8.445945946,13.1147541,13.95522388,16.96078431
5692,11,17,72,146,184,308,321,338,418,443,502,609,3.928571429,5,27.14285714,32.82608696,32.93103448,57.27272727,40,43.4,38.87096774,35,48.42105263,79.59459459
5699,505,523,556,592,609,657,669,677,678,678,678,679,81.23893805,99,99,99,99,99,99,99,99,99,99,99
5700,17,24,79,111,196,244,315,385,443,480,520,535,12,14,44.5,47.36842105,59.8,61.45833333,66.72413793,71.12903226,73.5483871,73,73.88888889,70.76923077
5706,4,8,17,34,43,68,112,189,316,417,554,583,2,3.076923077,4.25,8,8,10.83333333,16.81818182,24.85714286,39.28571429,49.46428571,74.42307692,75.20833333
5712,0,2,6,32,37,49,89,134,160,201,290,336,0,0.625,1.5,7.333333333,6.5,7.115384615,12.08333333,16.2962963,15.64516129,16.71428571,17.90697674,18.11111111
5713,2,3,10,20,23,32,49,138,148,261,302,327,0.7692307692,0.9375,2.5,4,3.709677419,4.210526316,5.161290323,17.03703704,13.85714286,23.85416667,19.30232558,17.11111111
5714,101,150,204,240,384,406,455,494,515,533,562,570,59.44444444,65.2173913,69.23076923,68.57142857,85.12820513,80.55555556,81.34615385,80.86956522,78.14285714,76.09375,75.92592593,72.27272727
5720,50,56,63,85,NA,NA,NA,269,NA,NA,NA,624,46.5,32.27272727,27.14285714,29.44444444,NA,NA,NA,34.66666667,NA,NA,NA,79.25
5731,11,16,23,31,57,NA,NA,NA,1690,NA,NA,NA,5,6.25,7.727272727,5.833333333,7.5,NA,NA,NA,90.27027027,NA,NA,NA
5732,28,45,53,78,NA,NA,NA,NA,NA,NA,NA,NA,16,21.875,18.75,22.14285714,NA,NA,NA,NA,NA,NA,NA,NA
5735,20,25,59,73,109,186,221,NA,270,NA,NA,NA,15,10,24.5,23.57142857,25,31.73913043,29.28571429,NA,23.57142857,NA,NA,NA
5736,20,29,58,75,116,NA,NA,NA,NA,NA,NA,NA,15,12.85714286,24,24.28571429,26.78571429,NA,NA,NA,NA,NA,NA,NA
5741,197,256,317,358,NA,NA,NA,NA,NA,NA,NA,NA,84.7826087,87.85714286,89.6969697,88.19444444,NA,NA,NA,NA,NA,NA,NA,NA
5742,31,39,57,66,83,105,157,191,216,259,274,339,30.83333333,30,32.72727273,29.28571429,28.33333333,20.90909091,25.95238095,25.4,23.45238095,30,20.83333333,27.77777778
5743,25,31,46,111,NA,NA,NA,NA,NA,NA,NA,NA,21.66666667,20,25,41.25,NA,NA,NA,NA,NA,NA,NA,NA
5744,203,281,388,442,516,538,590,617,633,639,645,648,96.23684211,80.47651464,98.18518519,98.19480519,98.91366906,98.3559322,99,99,99,98.51219512,97.75862069,94.375
5745,118,174,247,311,410,446,485,500,542,569,600,621,71.81818182,79.75,77.83333333,80.86206897,88.46153846,87.05128205,91.17647059,88.51351351,89.26470588,88.70967742,89.80769231,90.15625
5746,133,141,378,469,505,538,553,572,608,616,642,655,56.42857143,49.11764706,87.06521739,91.25,90.81967213,90.56603774,91.98113208,86.25,89.21052632,86.33333333,90.52631579,91.66666667
5748,16,25,54,91,173,236,318,382,446,491,546,600,11,15,31.36363636,38.5,54.25,59,66.55172414,70,73.38709677,74.16666667,77.5,84.28571429
5749,70,134,233,333,377,450,487,544,572,599,620,637,42.69230769,56.78571429,72.6,72.96296296,80.8974359,84.16666667,83.22580645,86.60714286,86.25,86.84210526,87.66666667,88.63636364
5780,66,92,132,196,347,463,550,592,626,649,673,682,46.92307692,49,53.23529412,59.8,78.10810811,88.46153846,92.61904762,93.48214286,94.47916667,93.59375,97.4,99
5782,92,126,162,201,211,214,212,221,227,232,243,261,63.66666667,66.42857143,67.82608696,67.30769231,61.08695652,53.47826087,45.92592593,29.8,21.30952381,16.57142857,18.14285714,15.625
5818,5,7,11,30,51,75,103,120,161,212,252,298,1.923076923,2.1875,2.75,6.333333333,9.5,12.5,14.58333333,13.39285714,15.48387097,18.28571429,18.375,18.8372093
5836,29,45,73,109,151,163,211,335,449,586,614,649,17,21.875,27.5,31.31578947,33.91304348,29.2,30.58823529,42.8,55.25,83.33333333,85.66666667,92.36842105
6043,187,220,266,305,331,373,449,503,582,618,646,651,74.16666667,72.85714286,73.75,72.67857143,69.48275862,69.07407407,74.51612903,82.82608696,86.34615385,89.54545455,92.11538462,91
6046,28,32,40,46,70,101,136,193,294,320,338,488,17.5,15,14.44444444,12.5,16.42857143,20,16.66666667,20.71428571,28.23529412,25.13888889,22.5862069,37
6054,71,145,286,401,549,NA,NA,NA,NA,NA,NA,NA,32.72727273,40.71428571,42.4,45,60.625,NA,NA,NA,NA,NA,NA,NA